iata_code,name,latitude_deg,longitude_deg,type,country,country_zh,iso,city,city_alt,kw
UTK,Utirik Airport,11.222219,169.851429,small_airport,Marshall Is.,马绍尔群岛,MH,Utirik Island,,
OCA,Ocean Reef Club Airport,25.325399,-80.274803,medium_airport,United States of America,美国,US,Key Largo,,
NUP,Nunapitchuk Airport,60.905591,-162.440454,small_airport,United States of America,美国,US,Nunapitchuk,,
BYW,Blakely Island Airport,48.579162,-122.823844,small_airport,United States of America,美国,US,Blakely Island,,
ATT,Atmautluak Airport,60.866699,-162.272996,small_airport,United States of America,美国,US,Atmautluak,,08AK
PDB,Pedro Bay Airport,59.796925,-154.129994,small_airport,United States of America,美国,US,Pedro Bay,,AK04
KOZ,Ouzinkie Airport,57.942094,-152.464314,small_airport,United States of America,美国,US,Ouzinkie,,
TNK,Tununak Airport,60.569638,-165.246649,small_airport,United States of America,美国,US,Tununak,,AK45
MNT,Minto Al Wright Airport,65.147991,-149.368658,small_airport,United States of America,美国,US,Minto,,
WKK,Aleknagik / New Airport,59.2826004028,-158.617996216,medium_airport,United States of America,美国,US,Aleknagik,,
CWS,Center Island Airport,48.490046,-122.831612,small_airport,United States of America,美国,US,Center Island,,
TEK,Tatitlek Airport,60.871449,-146.690297,small_airport,United States of America,美国,US,Tatitlek,,AK47
SSW,Stuart Island Airpark,48.673379,-123.175439,small_airport,United States of America,美国,US,Friday Harbor,,
WDN,Waldron Airstrip,48.71141,-123.018208,small_airport,United States of America,美国,US,Eastsound,,Waldronaire
CHU,Chuathbaluk Airport,61.579102,-159.216003,small_airport,United States of America,美国,US,Chuathbaluk,,
WTL,Tuntutuliak Airport,60.351243,-162.654476,small_airport,United States of America,美国,US,Tuntutuliak,,AK61
TWA,Twin Hills Airport,59.074713,-160.274992,small_airport,United States of America,美国,US,Twin Hills,,AK63
KCQ,Chignik Lake Airport,56.255001,-158.774994,small_airport,United States of America,美国,US,Chignik Lake,,AK79
BBQ,Burton-Nibbs International Airport,17.621194,-61.798347,medium_airport,Antigua and Barb.,安提瓜和巴布达,AG,Codrington,,"Barbuda International Airport, New Barbuda Airport"
AKS,Gwaunaru'u Airport,-8.70257,160.682007,small_airport,Solomon Is.,所罗门群岛,SB,Auki,,
BNY,Bellona/Anua Airport,-11.302222222200001,159.798333333,small_airport,Solomon Is.,所罗门群岛,SB,Anua,,
CHY,Choiseul Bay Airport,-6.711944,156.396111,small_airport,Solomon Is.,所罗门群岛,SB,Choiseul Bay,,
BAS,Ballalae Airport,-6.990745,155.886656,small_airport,Solomon Is.,所罗门群岛,SB,Ballalae,,
FRE,Fera/Maringe Airport,-8.1075,159.576996,small_airport,Solomon Is.,所罗门群岛,SB,Fera Island,,Santa Isabel Islands
HIR,Honiara International Airport,-9.428,160.054993,large_airport,Solomon Is.,所罗门群岛,SB,Honiara,,Henderson Field
IRA,Ngorangora Airport,-10.449700355500001,161.897994995,small_airport,Solomon Is.,所罗门群岛,SB,Kirakira,,
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,small_airport,Solomon Is.,所罗门群岛,SB,Santa Cruz/Graciosa Bay/Luova,,
MUA,Munda Airport,-8.32797,157.263,medium_airport,Solomon Is.,所罗门群岛,SB,Munda,,
GZO,Nusatupe Airport,-8.09778022766,156.863998413,small_airport,Solomon Is.,所罗门群岛,SB,Gizo,,
MNY,Mono Airport,-7.41694,155.565002,small_airport,Solomon Is.,所罗门群岛,SB,Stirling Island,,
RNL,Rennell/Tingoa Airport,-11.55,160.062778,small_airport,Solomon Is.,所罗门群岛,SB,Rennell Island,,
NNB,Santa Ana Airport,-10.847994,162.454108,small_airport,Solomon Is.,所罗门群岛,SB,Santa Ana Island,,
RUS,Marau Airport,-9.86167,160.824997,small_airport,Solomon Is.,所罗门群岛,SB,Marau,,
VAO,Suavanao Airport,-7.58556,158.731003,small_airport,Solomon Is.,所罗门群岛,SB,Suavanao,,
XYA,Yandina Airport,-9.092816,159.21841,small_airport,Solomon Is.,所罗门群岛,SB,Yandina,,
KGE,Kaghau Airport,-7.3305,157.585,small_airport,Solomon Is.,所罗门群岛,SB,Kagau Island,,Kagau Island
MHM,Manaoba Airport,-8.325008,160.80051,small_airport,Solomon Is.,所罗门群岛,SB,Manaoba,,
GTA,Gatokae Aerodrome,-8.738358,158.202836,small_airport,Solomon Is.,所罗门群岛,SB,Gatokae,,
RBV,Ramata Airport,-8.168060302734375,157.64300537109375,small_airport,Solomon Is.,所罗门群岛,SB,Ramata,,
INU,Nauru International Airport,-0.547893,166.919525,medium_airport,Nauru,瑙鲁,NR,Yaren,,"Nauru, Yaren District, Naero"
GYZ,Gruyere Airport,-28.034548,123.81506,small_airport,Australia,澳大利亚,AU,Cosmo Newbery,,
WSI,Western Sydney International (Nancy-Bird Walton) Airport,-33.883461,150.712981,large_airport,Australia,澳大利亚,AU,Sydney,,Badgerys Creek
AXF,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,medium_airport,China,中华人民共和国,CN,Bayanhot,,
VMU,Baimuru Airport,-7.496955,144.821756,medium_airport,Papua New Guinea,巴布亚新几内亚,PG,Baimuru,,
BUA,Buka Airport,-5.422299,154.672698,medium_airport,Papua New Guinea,巴布亚新几内亚,PG,Buka Island,,
