iata_code,name,latitude_deg,longitude_deg,type
OCA,Ocean Reef Club Airport,25.325399,-80.274803,medium_airport
WKK,Aleknagik / New Airport,59.2826004028,-158.617996216,medium_airport
BBQ,Burton-Nibbs International Airport,17.621194,-61.798347,medium_airport
HIR,Honiara International Airport,-9.428,160.054993,large_airport
MUA,Munda Airport,-8.32797,157.263,medium_airport
VLO,(Duplicate)Vlora International Airport,40.605556,19.426111,large_airport
INU,Nauru International Airport,-0.547893,166.919525,medium_airport
WFR,(Duplicate)Wolf's Fang Runway,-71.5264,8.799459,medium_airport
AXF,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,medium_airport
VMU,Baimuru Airport,-7.496955,144.821756,medium_airport
BUA,Buka Airport,-5.422299,154.672698,medium_airport
OPU,Balimo Airport,-8.05000019073,142.932998657,medium_airport
CMU,Chimbu Airport,-6.024290084838867,144.9709930419922,medium_airport
DAU,Daru Airport,-9.08676,143.207993,medium_airport
GKA,Goroka Airport,-6.081689834590001,145.391998291,medium_airport
GUR,Gurney Airport,-10.3114995956,150.333999634,medium_airport
PNP,Girua Airport,-8.80453968048,148.309005737,medium_airport
HKN,Hoskins Airport,-5.463846,150.407327,medium_airport
KMA,Kerema Airport,-7.96361017227,145.770996094,medium_airport
KVG,Kavieng Airport,-2.57940006256,150.807998657,medium_airport
MAG,Madang Airport,-5.20707988739,145.789001465,medium_airport
HGU,Mount Hagen Kagamuga Airport,-5.828212,144.299412,medium_airport
MDU,Mendi Airport,-6.14774,143.656998,medium_airport
MAS,Momote Airport,-2.06189,147.423996,medium_airport
LAE,Nadzab Tomodachi International Airport,-6.567995,146.726544,large_airport
POM,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,large_airport
RAB,Tokua Airport,-4.34046,152.380005,medium_airport
VAI,Vanimo Airport,-2.6926,141.3028,medium_airport
WBM,Wapenamanda Airport,-5.635293,143.892231,medium_airport
WWK,Wewak International Airport,-3.58383011818,143.669006348,medium_airport
ZXT,Zabrat Airport,40.494884,49.977065,medium_airport
BCW,Benguera Island Airport,-21.8533,35.438301,medium_airport
JAM,Bezmer Air Base,42.454899,26.3522,medium_airport
JEG,Aasiaat Airport,68.721802,-52.784698,medium_airport
UAK,Narsarsuaq Airport,61.1605,-45.425999,medium_airport
CNP,Neerlerit Inaat Airport,70.743103,-22.650499,medium_airport
GOH,Nuuk International Airport,64.191066,-51.67914,large_airport
JAV,Ilulissat Airport,69.243202,-51.057098,medium_airport
KUS,Kulusuk Airport,65.573601,-37.1236,medium_airport
