flight_id,origin,dest,time,weight
9C8924,KHN,SHE,2023-08-20T18:00:00Z,1
PN6256,KHN,CKG,2024-01-15T23:40:00Z,1
RY6680,TFU,KHN,2024-01-25T20:20:00Z,1
MU9037,KHN,HIA,2024-01-25T09:50:00Z,1
MU2666,HIA,SHE,2024-02-20T13:30:00Z,1
CA1581,PEK,KHN,2025-01-04T19:15:00Z,1
CA1652,SHE,PEK,2025-01-04T11:35:00Z,8
MU5601,PVG,SHE,2025-02-18T10:20:00Z,12
MU9028,KHN,PVG,2025-02-18T07:10:00Z,1
9C8553,SHE,LHW,2025-04-20T07:35:00Z,1
MU6851,LHW,SHE,2025-04-28T16:45:00Z,1
ZH9602,SHE,SZX,2025-07-07T16:50:00Z,1
ZH9529,SZX,PVG,2025-07-10T19:45:00Z,1
MU5148,HGH,PKX,2025-07-16T16:05:00Z,1
MU5176,PKX,KHN,2025-07-18T22:40:00Z,6
ZH8862,KHN,SZX,2025-07-22T07:05:00Z,1
MU5448,KHN,TNA,2025-08-01T17:00:00Z,1
EU1958,TNA,WNZ,2025-08-05T11:45:00Z,1
RY8963,KHN,HET,2025-08-18T13:45:00Z,1
CZ5356,HET,SHE,2025-08-23T22:00:00Z,1
ZH9733,SHE,KHN,2025-09-26T17:15:00Z,1
GX8949,KOW,DLC,2025-10-07T09:35:00Z,1
VJ3949,PKX,SGN,2025-01-26T01:05:00Z,1
VJ85,SGN,SYD,2025-01-26T19:30:00Z,1
JQ952,SYD,CNS,2026-02-01T11:45:00Z,1
VA1292,CNS,MEL,2026-02-04T11:45:00Z,1
HU484,MEL,HAK,2026-02-15T20:45:00Z,1
HU7069,HAK,KHN,2026-02-16T14:45:00Z,1
D7343,PKX,KUL,2026-02-26T02:30:00Z,1
ZH330,KUL,SZX,2026-03-04T20:30:00Z,1
ZH9101,SZX,PEK,2026-03-05T07:00:00Z,5
RY8866,PKX,KHN,2026-04-03T13:00:00Z,1
MU5173,KHN,PKX,2026-04-07T07:05:00Z,1
ZH9733,SHE,KHN,2026-06-19T18:55:00Z,1
RY8923,KHN,TNA,2026-07-06T13:50:00Z,1
MU571,PVG,SYD,2025-05-20T09:30:00Z,1
CA925,PEK,HND,2025-06-10T08:40:00Z,1
CX391,PVG,HKG,2025-07-15T10:15:00Z,1
